"address","type","parking_space","area","district_city","nearest_subway_station"
"191014, Сакт-Петербург,  Лиговский проспект, 17","Платная",4,8,"Центральный","Площадь Восстания"
"191036, Сакт-Петербург,  Лиговский проспект, 23","Платная",9,18,"Центральный","Площадь Восстания"
"191036, Сакт-Петербург,  Лиговский проспект, 25","Платная",7,14,"Центральный","Площадь Восстания"
"191036, Сакт-Петербург,  Лиговский проспект, дом 10/118","Платная",34,68,"Центральный","Площадь Восстания"
"191014, Сакт-Петербург,  улица Белинского, 6","Платная",17,34,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Белинского, 5","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Белинского, 1","Платная",18,36,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 41","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 31","Платная",9,18,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, 42","Платная",15,30,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 36","Платная",10,20,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 23","Платная",31,62,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 26","Платная",19,38,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, 11","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, 18","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 3-5","Платная",16,32,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, 5","Платная",16,32,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, 2-4","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Некрасова, дом 1","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Басков переулок, дом 4","Платная",39,78,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Басков переулок, 7","Платная",35,70,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Басков переулок, дом 14","Платная",35,70,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Басков переулок, 23","Платная",34,68,"Центральный","Чернышевская"
